labware name,labware file,function,deck position,well,initial volume (mL),compound 1,concentration 1,compound 2,concentration 2
"tips P20, 1",needlecoated_1_tiprack_20ul,tips,1,,,,,,
"tips P1000, 1",sarstedt_77_tiprack_1000ul,tips,2,,,,,,
"tips P1000, 2",sarstedt_77_tiprack_1000ul,tips,5,,,,,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,A1,50,water,pure,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,B2,50,water_wash,pure,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,B3,30,trash,pure,,
sample plate 1,greinerblackwalls_96_wellplate_392ul,container,7,,,,,,
sample plate 2,greinerblackwalls_96_wellplate_392ul,container,8,,,,,,
sample plate 3,greinerblackwalls_96_wellplate_392ul,container,9,,,,,,
wash plate,greinerblackwalls_96_wellplate_392ul,container,3,,,,,,
drop_stage,dropstage_1_reservoir_5000ul,container,10,A1,,,,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A1,0.3,BDDAB,15.8,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,B1,0.3,CTAB,0.81003,BDDAB,4.861133333
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,C1,0.3,CTAB,0.98709,BDDAB,2.470066667
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,D1,0.3,CTAB,1.0647,BDDAB,1.422
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,E1,0.3,CTAB,1.10838,BDDAB,0.832133333
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,F1,0.3,CTAB,1.13646,BDDAB,0.452933333
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,G1,0.3,CTAB,1.15557,BDDAB,0.194866667
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,H1,0.3,CTAB,1.17,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A2,0.3,SDS,38.8,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,B2,0.3,SDS,5.949333333,CTAB,0.9906
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,C2,0.3,SDS,2.716,CTAB,1.0881
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,D2,0.3,SDS,1.500266667,CTAB,1.12476
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,E2,0.3,SDS,0.8536,CTAB,1.14426
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,F2,0.3,SDS,0.4656,CTAB,1.15596
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,G2,0.3,CTAB,1.16415,SDS,0.194017244
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,H2,0.3,CTAB,1.17,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A3,0.3,TTAB,17.1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,B3,0.3,TTAB,4.9761,CTAB,0.82953
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,C3,0.3,TTAB,2.4966,CTAB,0.99918
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,D3,0.3,TTAB,1.4307,CTAB,1.07211
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,E3,0.3,TTAB,0.8322,CTAB,1.11306
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,F3,0.3,TTAB,0.456,CTAB,1.1388
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,G3,0.3,TTAB,0.1938,CTAB,1.15674
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,H3,0.3,CTAB,1.17,,
