labware name,labware file,function,deck position,well,initial volume (mL),compound 1,concentration 1,compound 2,concentration 2
"tips P20, 1",needlecoated_1_tiprack_20ul,tips,1,,,,,,
"tips P300, 1",sarstedt_96_tiprack_300ul,tips,2,,,,,,
"tips P300, 2",sarstedt_96_tiprack_300ul,tips,5,,,,,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,A1,50,water,pure,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,B1,50,water_wash,pure,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,B2,45,ethanol_wash,pure,,
tube rack 50 mL,3dprinted_50_tuberack_50000ul,container,6,B3,30,trash,pure,,
sample plate 1,greinerblackwalls_96_wellplate_392ul,container,7,,,,,,
sample plate 2,greinerblackwalls_96_wellplate_392ul,container,8,,,,,,
sample plate 3,greinerblackwalls_96_wellplate_392ul,container,9,,,,,,
wash plate,greinerblackwalls_96_wellplate_392ul,container,3,,,,,,
drop_stage,dropstage_1_reservoir_5000ul,container,10,A1,,,,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A1,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A2,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A3,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A4,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A5,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A6,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A7,0.3,water,1,,
stock plate,greinerblackwalls_96_wellplate_392ul,container,11,A8,0.3,water,1,,
