well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa)
7C8,C12E4_1,0.00290625,explore,65.5534665,1,10.1,900,0.5,22.73,23.61,102051.13
7C7,C12E4_1,0.0058125,explore,56.81658124,1,9.1,900,0.5,22.72,24.22,102062.08
7C6,C12E4_1,0.011625,explore,50.83389388,2,8.7,900,0.5,22.68,24.85,102048.03
7C5,C12E4_1,0.02325,explore,42.63056268,1,7.4,900,0.5,22.6,25.31,102060.05
7C4,C12E4_1,0.0465,explore,32.66279705,1,5.6,900,0.5,22.55,25.58,102072.47
7C3,C12E4_1,0.093,explore,28,5,3.1,900,0.5,22.54,25.57,102070.57
7C2,C12E4_1,0.186,explore,27,,,,,,,
7C1,C12E4_1,0.372,explore,24,,,,,,,
7C9,C12E4_1,0.001724773,exploit,66.32436311,1,10.3,900,0.5,22.48,25.96,102073.35
7C10,C12E4_1,0.054308593,exploit,33.96978865,3,5.7,900,0.5,22.44,26.36,102069.07
7C11,C12E4_1,0.023214374,exploit,46.9360004,2,8,900,0.5,22.42,26.4,102067.61
7C12,C12E4_1,0.018519923,exploit,62.06604067,1,10,900,0.5,22.37,26.4,102062.82
