surfactant,cmc_mean,gamma_max_mean,st_at_cmc_mean,C20_mean,log(Kad)_mean
16BAC,0.54 (0.03),3.9 (0.66),39.1 (0.17),0.25 (0.01),3.98 (0.14)
BDDAB,3.86 (0.47),4.0 (0.21),32.4 (0.12),1.23 (0.10),3.27 (0.01)
C12E3,0.09 (0.00),9.6 (2.45),28.2 (0.48),0.03 (0.00),4.84 (0.23)
C12E4,0.08 (0.02),8.5 (0.59),30.3 (2.05),0.02 (0.00),4.94 (0.05)
CTAB,1.11 (0.22),7.7 (3.32),34.5 (2.00),0.49 (0.03),3.29 (0.31)
DTAB,13.62 (0.88),4.0 (0.79),34.2 (1.79),4.75 (0.61),2.7 (0.17)
NaOleate,0.14 (0.02),7.3 (1.62),38.7 (0.50),0.08 (0.01),4.08 (0.21)
SDBS,2.82 (0.17),3.3 (0.52),35.0 (0.64),0.93 (0.12),3.53 (0.19)
SDS,7.7 (0.29),7.4 (0.77),38.3 (0.09),4.23 (0.23),2.32 (0.08)
SOS,62.49 (2.81),4.5 (0.43),41.1 (0.66),35.26 (2.23),1.71 (0.09)
TTAB,2.86 (0.76),50.0 (76.31),33.4 (0.72),1.22 (0.07),2.77 (0.47)
