,CMC / mM,,?CMC / mN m-1,,?max ? 1010 / mol cm-2 ,,log(KL),,C20 / mM,
surfactant,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro
16BAC,0.54 (0.03),,39.1 (0.17),,3.9 (0.66),,3.98 (0.14),,0.25 (0.01),
BDDAB,3.86 (0.47),,32.4 (0.12),,4.0 (0.21),,3.27 (0.01),,1.23 (0.10),
C12E3,0.09 (0.00),,28.2 (0.48),,9.6 (2.45),,4.84 (0.23),,0.03 (0.00),
C12E4,0.08 (0.02),,30.3 (2.05),,8.5 (0.59),,4.94 (0.05),,0.02 (0.00),
CTAB,1.11 (0.22),,34.5 (2.00),,7.7 (3.32),,3.29 (0.31),,0.49 (0.03),
DTAB,13.62 (0.88),,34.2 (1.79),,4.0 (0.79),,2.7 (0.17),,4.75 (0.61),
NaOleate,0.14 (0.02),,38.7 (0.50),,7.3 (1.62),,4.08 (0.21),,0.08 (0.01),
SDBS,2.82 (0.17),,35.0 (0.64),,3.3 (0.52),,3.53 (0.19),,0.93 (0.12),
SDS,7.7 (0.29),,38.3 (0.09),,7.4 (0.77),,2.32 (0.08),,4.23 (0.23),
SOS,62.49 (2.81),,41.1 (0.66),,4.5 (0.43),,1.71 (0.09),,35.26 (2.23),
TTAB*,2.86 (0.76),,33.4 (0.72),,50.0 (76.31),,2.77 (0.47),,1.22 (0.07),
