,CMC / mM,,Gamma_max,,KL,,st_at_cmc,,C20 / mM,
surfactant,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro,exp mean (std),lit / Surfpro
16BAC,0.54 (0.03),,7.8 (1.32),,9815.0 (3044.46),,39.1 (0.17),,0.25 (0.01),
BDDAB,3.86 (0.47),,7.9 (0.42),,1854.0 (28.49),,32.4 (0.12),,1.23 (0.10),
C12E3,0.09 (0.00),,9.6 (2.45),,75667.0 (33276.13),,28.2 (0.48),,0.03 (0.00),
C12E4,0.08 (0.02),,8.5 (0.59),,87134.0 (9878.15),,30.3 (2.05),,0.02 (0.00),
CTAB,1.11 (0.22),,15.5 (6.64),,2317.0 (1716.40),,34.5 (2.00),,0.49 (0.03),
DTAB,13.62 (0.88),,7.9 (1.58),,524.0 (220.08),,34.2 (1.79),,4.75 (0.61),
NaOleate,0.14 (0.02),,14.6 (3.23),,13170.0 (6738.11),,38.7 (0.50),,0.08 (0.01),
SDBS,2.82 (0.17),,6.7 (1.04),,3662.0 (1753.16),,35.0 (0.64),,0.93 (0.12),
SDS,7.7 (0.29),,14.8 (1.55),,213.0 (43.03),,38.3 (0.09),,4.23 (0.23),
SOS,62.49 (2.81),,9.1 (0.86),,53.0 (10.84),,41.1 (0.66),,35.26 (2.23),
TTAB*,2.86 (0.76),,99.9 (152.62),,817.0 (716.21),,33.4 (0.72),,1.22 (0.07),
