surfactant,cmc_mean,gamma_max_mean,Kad_mean,g0_mean,st_at_cmc_mean,C20_mean,g0_relerr
16BAC,0.54 (4%),7.6 (3%),10192.0 (11%),0.07350359360376994,39.1 (0%),0.26 (3%),1.5035954119269783
BDDAB,4.99 (7%),7.6 (6%),1967.0 (18%),0.07259781658649445,28.7 (6%),1.23 (6%),0.5833793365899784
C12E3,0.12 (8%),9.7 (21%),61317.0 (49%),0.07481332371632259,28.1 (4%),0.03 (16%),0.6817822770233626
C12E4,0.1 (23%),10.1 (42%),67903.0 (53%),0.0738772302865982,30.5 (11%),0.03 (22%),3.383781618942398
CTAB,1.08 (24%),37.3 (126%),2803.0 (91%),0.07392261425654094,34.8 (6%),0.48 (10%),0.9945268043164877
DTAB,13.38 (13%),7.2 (25%),722.0 (42%),0.07379390796025594,34.9 (3%),4.56 (8%),1.0237746876354572
NaOleate,0.16 (9%),17.3 (1%),8874.0 (14%),0.07556575288375218,38.8 (3%),0.09 (14%),0.3075663032463541
SDBS,2.74 (5%),7.1 (18%),4339.0 (68%),0.07542799413204193,35.0 (2%),0.96 (11%),2.921564333399628
SDS,7.75 (6%),13.8 (27%),292.0 (58%),0.07356830189625423,38.2 (0%),4.15 (2%),1.9036690169306196
SOS,201.0 (13%),3.4 (9%),300.0 (25%),0.07371630767981212,40.0 (0%),57.42 (2%),0.45310505307697346
TTAB,3.0 (17%),55.0 (113%),802.0 (125%),0.07310332109530766,31.0 (2%),1.26 (10%),1.6764286218483966
