surfactant,cmc_mean,gamma_max_mean,Kad_mean,st_at_cmc_mean,C20_mean
16BAC,0.54 (6%),8.2 (13%),8508.0 (23%),39.1 (0%),0.26 (2%)
BDDAB,5.0 (6%),7.5 (5%),2043.0 (13%),28.7 (6%),1.22 (6%)
C12E3,0.12 (9%),10.7 (32%),51648.0 (67%),28.1 (4%),0.03 (19%)
C12E4,0.1 (20%),12.7 (64%),59443.0 (72%),30.5 (10%),0.03 (23%)
CTAB,1.06 (21%),40.9 (123%),1971.0 (89%),34.9 (6%),0.49 (9%)
DTAB,12.93 (12%),7.8 (20%),547.0 (38%),34.9 (3%),4.61 (8%)
NaOleate,0.16 (7%),17.3 (1%),7585.0 (13%),39.0 (4%),0.1 (12%)
SDBS,2.66 (4%),8.1 (16%),2375.0 (36%),35.1 (2%),0.99 (8%)
SDS,7.68 (4%),14.7 (12%),217.0 (16%),38.2 (0%),4.19 (2%)
SOS,201.42 (13%),3.5 (10%),252.0 (30%),39.9 (0%),57.66 (1%)
TTAB,3.0 (16%),27.4 (58%),670.0 (110%),31.0 (2%),1.26 (8%)
