experiment ID,well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa),well position,well_number,C12E4_concentration,16BAC_concentration
BS0006_0001,6B1,16BAC,0.372,explore,31.75122083,1,4.35,1200,0.5,22.71,34.82,101673.71,B1,1,0.0,0.372
BS0006_0101,7B1,16BAC,0.372,explore,39.64463386,1,6.15,1200,0.5,23.67,29.79,102266.42,B1,1,0.0,0.372
BS0006_0201,9B1,16BAC,0.372,explore,35.96305292,1,5.75,1200,0.5,22.63,35.84,101937.44,B1,1,0.0,0.372
BS0006_0002,6B2,16BAC,0.186,explore,49.58027098,1,7.55,1200,0.5,22.74,35.07,101692.75,B2,2,0.0,0.186
BS0006_0102,7B2,16BAC,0.186,explore,49.06212789,1,7.5,1200,0.5,23.67,29.33,102256.46,B2,2,0.0,0.186
BS0006_0202,9B2,16BAC,0.186,explore,49.53478198,1,7.55,1200,0.5,22.66,35.4,101938.97,B2,2,0.0,0.186
BS0006_0003,6B3,16BAC,0.093,explore,57.27584571,1,8.65,1200,0.5,22.75,35.32,101696.72,B3,3,0.0,0.093
BS0006_0103,7B3,16BAC,0.093,explore,54.50811869,1,8.4,1200,0.5,23.74,28.47,102244.45,B3,3,0.0,0.093
BS0006_0203,9B3,16BAC,0.093,explore,56.63707456,1,8.45,1200,0.5,22.64,35.28,101941.39,B3,3,0.0,0.093
BS0006_0004,6B4,16BAC,0.0465,explore,64.5349162,1,9.5,1200,0.5,22.78,35.48,101699.35,B4,4,0.0,0.0465
BS0006_0104,7B4,16BAC,0.0465,explore,59.45384301,1,9.05,1200,0.5,23.82,28.12,102226.06,B4,4,0.0,0.0465
BS0006_0204,9B4,16BAC,0.0465,explore,61.53118652,1,9.25,1200,0.5,22.65,35.0,101931.4,B4,4,0.0,0.0465
BS0006_0005,6B5,16BAC,0.02325,explore,67.51005708,1,10.05,1200,0.5,22.8,35.83,101701.68,B5,5,0.0,0.02325
