alpha,concentration,point type,surface tension eq. (mN/m)
0,0.016484375,explore,71.60374462
0,0.03296875,explore,71.55862868
0,0.0659375,explore,70.38023925
0,0.131875,explore,64.77683517
0,0.26375,explore,57.3369305
0,0.5275,explore,46.13427154
0,1.055,explore,36.41066498
0,2.11,explore,32.37490721
0,0.753017902,exploit,42.54771874
0,1.165854096,exploit,34.5181083
0,0.40834859,exploit,51.00962263
0,1.217945933,exploit,36.23920647
0.2,0.00890625,explore,67.93352362
0.2,0.0178125,explore,43.40376623
0.2,0.035625,explore,38.95999876
0.2,0.06133344,exploit,35.94870385
0.2,0.285,explore,26.28619153
0.2,0.57,explore,26.25344748
0.4,0.00890625,explore,37.66289584
0.4,0.0178125,explore,35.76757244
0.4,0.07125,explore,26.0646953
0.4,0.1425,explore,26.19574506
0.4,0.329018623,exploit,26.45353791
0.6,0.00890625,explore,56.60363706
0.6,0.0178125,explore,26.25874689
0.6,0.1425,explore,26.26072909
0.6,0.027216878,exploit,26.9160078
0.8,0.00890625,explore,73.30097573
0.8,0.0178125,explore,73.32463432
0.8,0.035625,explore,73.33382568
0.8,0.07125,explore,45.89390844
0.8,0.580778718,exploit,42.83952546
1,2.684375,explore,69.66040833
1,5.36875,explore,68.04633754
1,10.7375,explore,64.44277095
1,21.475,explore,60.01496328
1,42.95,explore,50.8532667
1,85.9,explore,43.67263798
1,171.8,explore,40.08820161
1,343.6,explore,39.67745426
1,118.85466,exploit,41.21445249
1,121.1022339,exploit,40.62122727
1,100.4136429,exploit,42.30376836
