experiment ID,well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa),well position,well_number,SOS_concentration,CTAB_concentration
BS0003_0001,7B1,CTAB,2.11,explore,30.49950195,1,5.25,30,0.5,21.82,29.15,102213.17,B1,1,0.0,2.11
BS0003_0101,7B1,CTAB,2.11,explore,30.60404072,1,5.2,30,0.4,22.95,32.05,100602.2,B1,1,0.0,2.11
BS0003_0201,7B1,CTAB,2.11,explore,29.32573462,1,4.8,30,0.4,23.27,32.09,101613.14,B1,1,0.0,2.11
BS0003_0002,7B2,CTAB,1.055,explore,32.16070957,1,5.15,30,0.5,21.82,29.13,102211.21,B2,2,0.0,1.055
BS0003_0102,7B2,CTAB,1.055,explore,31.17385738,1,5.4,30,0.4,22.93,32.12,100599.97,B2,2,0.0,1.055
BS0003_0202,7B2,CTAB,1.055,explore,32.41985667,1,5.0,30,0.4,23.24,32.11,101610.31,B2,2,0.0,1.055
BS0003_0003,7B3,CTAB,0.5275,explore,41.84055201,1,5.35,30,0.5,21.81,29.09,102206.75,B3,3,0.0,0.5275
BS0003_0103,7B3,CTAB,0.5275,explore,40.48684812,1,5.15,30,0.4,22.92,32.31,100594.53,B3,3,0.0,0.5275
BS0003_0203,7B3,CTAB,0.5275,explore,43.16296903,1,5.95,30,0.4,23.24,32.11,101614.17,B3,3,0.0,0.5275
BS0003_0004,7B4,CTAB,0.26375,explore,51.24204516,1,6.05,30,0.5,21.83,29.07,102205.11,B4,4,0.0,0.26375
BS0003_0104,7B4,CTAB,0.26375,explore,52.62682986,1,6.3,30,0.4,22.92,32.34,100597.0,B4,4,0.0,0.26375
BS0003_0204,7B4,CTAB,0.26375,explore,52.97610567,1,6.55,30,0.4,23.22,32.38,101612.89,B4,4,0.0,0.26375
BS0003_0005,7B5,CTAB,0.131875,explore,59.55410433,1,6.85,30,0.5,21.83,29.0,102199.51,B5,5,0.0,0.131875
BS0003_0105,7B5,CTAB,0.131875,explore,62.40289361,1,7.35,30,0.4,22.92,32.38,100600.61,B5,5,0.0,0.131875
BS0003_0205,7B5,CTAB,0.131875,explore,61.63195221,1,7.5,30,0.4,23.19,32.58,101628.71,B5,5,0.0,0.131875
BS0003_0006,7B6,CTAB,0.0659375,explore,64.54061462,1,7.65,30,0.5,21.84,28.97,102196.66,B6,6,0.0,0.0659375
BS0003_0106,7B6,CTAB,0.0659375,explore,67.72763104,1,8.1,30,0.4,22.92,32.34,100598.64,B6,6,0.0,0.0659375
BS0003_0206,7B6,CTAB,0.0659375,explore,65.90918416,1,8.15,30,0.4,23.17,32.81,101634.85,B6,6,0.0,0.0659375
BS0003_0007,7B7,CTAB,0.03296875,explore,65.46909816,1,7.8,30,0.5,21.84,29.03,102195.1,B7,7,0.0,0.03296875
