well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa)
7C8,CTAB,0.016484375,explore,72.55988088518455,1,10.0,60.0,0.3,23.16,28.09,102043.92
7C7,CTAB,0.03296875,explore,71.35415897050122,1,10.0,60.0,0.3,23.15,28.04,102041.64
7C6,CTAB,0.0659375,explore,71.1883864952322,1,9.650596016129661,60.0,0.3,23.11,28.03,102046.97
7C5,CTAB,0.131875,explore,67.01510474812872,1,9.869353319393618,60.0,0.3,23.16,27.89,102040.0
7C4,CTAB,0.26375,explore,59.357781100286104,1,8.476404714733917,60.0,0.3,23.16,27.82,102035.21
7C3,CTAB,0.5275,explore,47.65827117719883,1,6.80492957766867,60.0,0.3,23.17,27.78,102035.92
7C2,CTAB,1.055,explore,37.19578419310679,1,6.0,60.0,0.3,23.16,27.87,102042.85
7C1,CTAB,2.11,explore,36.24467143915979,1,6.0,60.0,0.3,23.13,27.78,102038.17
7C9,CTAB,0.7672578096389768,exploit,42.74135819862619,1,6.0115517752511165,30.0,0.3,23.15,27.49,102035.39
7C10,CTAB,0.8747679591178893,exploit,37.39061434495701,1,6.165649850027902,30.0,0.3,23.16,27.36,102039.88
7C11,CTAB,0.3200838565826415,exploit,55.70081326100163,1,8.347045026506697,30.0,0.3,23.08,27.3,102038.03
7C12,CTAB,0.8747679591178893,exploit,39.907408482645685,1,6.104143851143974,30.0,0.3,23.11,27.15,102036.63
