well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa)
7F8,DTAB_1,0.25578125,explore,70.35067954,1,10.2,120,0.5,23.4,18.88,102189.21
7F7,DTAB_1,0.5115625,explore,69.70996724,1,10.1,120,0.5,23.46,18.96,102180.46
7F6,DTAB_1,1.023125,explore,67.56598951,1,9.8,120,0.5,23.49,18.86,102169.32
7F5,DTAB_1,2.04625,explore,60.93216521,1,8.9,120,0.5,23.51,18.97,102155.2
7F4,DTAB_1,4.0925,explore,53.23267767,1,7.8,120,0.5,23.54,18.77,102149.6
7F3,DTAB_1,8.185,explore,41.68023827,1,7,120,0.5,23.55,18.54,102145.31
7F1,DTAB_1,32.74,explore,36.78728144,1,5.9,120,0.5,23.57,18.52,102142.21
7F9,DTAB_1,11.61153889,exploit,39.3,1,6.4,120,0.5,23.62,18.68,102131.15
7F10,DTAB_1,3.187935591,exploit,57.36034506,1,8.4,120,0.5,23.6,18.83,102134.08
7F11,DTAB_1,2.921069384,exploit,59.25912428,1,8.6,120,0.5,23.63,18.74,102107.11
7F12,DTAB_1,3.187935591,exploit,60.03391315,1,8.8,120,0.5,23.66,18.57,102098.54
