well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa)
7B8,TTAB_1,0.13289062499999998,explore,67.03623508236032,1,10.0,120.0,0.5,22.37,25.78,102371.92
7B7,TTAB_1,0.26578124999999997,explore,63.0155522502187,1,9.5,120.0,0.5,22.42,25.78,102374.01
7B6,TTAB_1,0.5315624999999999,explore,55.41585504189757,1,8.5,120.0,0.5,22.45,25.84,102374.17
7B5,TTAB_1,1.0631249999999999,explore,47.3255668529737,1,7.25,120.0,0.5,22.44,25.78,102374.44
7B4,TTAB_1,2.1262499999999998,explore,34.854291217087244,1,5.75,120.0,0.5,22.44,25.71,102371.53
7B2,TTAB_1,8.504999999999999,explore,32.38748100377397,2,5.25,120.0,0.5,22.15,26.38,102378.23
7B1,TTAB_1,17.009999999999998,explore,33.223735544210825,1,5.5,120.0,0.5,22.18,26.27,102373.66
7B9,TTAB_1,2.277434825897217,exploit,37.58908006229887,1,6.0,120.0,0.5,22.23,26.29,102369.63
7B10,TTAB_1,0.3963612020015716,exploit,58.64406110605308,1,8.75,120.0,0.5,22.16,26.48,102362.13
7B11,TTAB_1,0.24813751876354218,exploit,64.07509601961527,1,9.5,120.0,0.5,22.2,26.39,102356.35
