well id,solution,concentration,point type,surface tension eq. (mN/m),drop count,drop volume (uL),max measure time (s),flow rate (uL/s),temperature (C),humidity (%),pressure (Pa)
7A8,SDBS_1_1,0.05609375,explore,71.19155999,1,10.3,150,0.5,26.06,34.63,99347.33
7A7,SDBS_1_1,0.1121875,explore,69.60502202,1,10,150,0.5,26.09,34.55,99364.14
7A6,SDBS_1_1,0.224375,explore,65.02931095,1,9.5,150,0.5,26.13,34.85,99359.24
7A5,SDBS_1_1,0.44875,explore,58.04024686,1,8.5,150,0.5,26.15,35.27,99359.14
7A4,SDBS_1_1,0.8975,explore,50.21285938,1,7.4,150,0.5,26.13,36.18,99359.71
7A3,SDBS_1_1,1.795,explore,40.91757251,1,6.1,150,0.5,26.13,36.71,99361.32
7A2,SDBS_1_1,3.59,explore,35.91654644,1,5.2,150,0.5,26.13,37.13,99374.92
7A1,SDBS_1_1,7.18,explore,35.36084968,1,5.1,150,0.5,26.11,37.58,99370.38
7A9,SDBS_1_1,2.28998065,exploit,38.09065747,1,5.7,150,0.5,26.04,39.23,99362.81
7A10,SDBS_1_1,0.489747435,exploit,57.76890915,1,8.7,150,0.5,25.97,39.91,99395.55
7A11,SDBS_1_1,2.377407551,exploit,37.54543417,1,5.6,150,0.5,25.88,38.86,99432.01
7A12,SDBS_1_1,0.299037486,exploit,65.84539341,1,9.6,150,0.5,25.69,38.47,99422.39
7B8,SDBS_1_2,0.05609375,explore,71.0865709,1,10.3,150,0.5,25.39,38.72,99428.66
7B7,SDBS_1_2,0.1121875,explore,69.5738227,1,10.1,150,0.5,25.33,38.87,99431.1
7B6,SDBS_1_2,0.224375,explore,64.7441237,1,9.4,150,0.5,25.31,39.03,99427.09
7B5,SDBS_1_2,0.44875,explore,57.84826977,1,8.5,150,0.5,25.22,39.46,99426.41
7B4,SDBS_1_2,0.8975,explore,49.06910155,1,7.3,150,0.5,25.22,39.64,99428.47
7B3,SDBS_1_2,1.795,explore,41.83893128,1,6.2,150,0.5,25.21,39.79,99427.78
7B2,SDBS_1_2,3.59,explore,35.94281657,1,5.3,150,0.5,25.16,39.86,99430.33
7B1,SDBS_1_2,7.18,explore,34.07039553,1,5,150,0.5,25.12,40.05,99427.02
7B9,SDBS_1_2,2.422364235,exploit,37.90870731,1,5.6,150,0.5,25.14,40.38,99435.88
7B10,SDBS_1_2,2.643670559,exploit,36.5747942,1,5.4,150,0.5,25.09,41.01,99447.13
7B11,SDBS_1_2,0.299037486,exploit,63.78604594,1,9.4,150,0.5,25.02,41.52,99454.63
7B12,SDBS_1_2,0.328401655,exploit,70.02930005,1,6.5,150,0.5,25.05,41.68,99446.82
7C8,SDBS_1_3,0.05609375,explore,75.55895009,1,7,150,0.5,25.08,41.89,99451.98
7C7,SDBS_1_3,0.1121875,explore,69.97238892,1,6.9,150,0.5,25.12,41.8,99450.85
7C6,SDBS_1_3,0.224375,explore,65.04534893,1,6.5,150,0.5,25.13,41.93,99454.99
7C5,SDBS_1_3,0.44875,explore,55.42403083,1,6,150,0.5,25.12,42,99459.8
7C4,SDBS_1_3,0.8975,explore,50.36405585,1,5.4,150,0.5,25.13,42.05,99469.67
7C3,SDBS_1_3,1.795,explore,39.77073584,1,5.9,150,0.5,25.14,42.04,99471.72
7C2,SDBS_1_3,3.59,explore,35.91426531,1,5.3,150,0.5,25.16,42.08,99472.46
7C1,SDBS_1_3,7.18,explore,32.80064397,1,5.3,150,0.5,25.13,42.22,99480.96
7C9,SDBS_1_3,2.219584703,exploit,38.80799544,1,5.8,150,0.5,25.02,42.7,99487.54
7C10,SDBS_1_3,2.546452284,exploit,35.4571475,1,5.4,150,0.5,25.03,43.02,99491.01
7C11,SDBS_1_3,0.40608108,exploit,56.24924881,1,8.4,150,0.5,25.05,43.21,99510.02
7C12,SDBS_1_3,2.233488798,exploit,37.97612529,1,5.8,150,0.5,24.97,43.59,99530.75
7D8,BDDAB_1_1,0.0821875,explore,70.41015502,1,10.3,150,0.5,24.99,44.29,99554.55
7D7,BDDAB_1_1,0.164375,explore,68.07721766,1,9.9,150,0.5,25.01,44.03,99556.06
7D6,BDDAB_1_1,0.32875,explore,61.87884125,1,9.1,150,0.5,25.04,43.99,99561.98
7D5,BDDAB_1_1,0.6575,explore,57.15345923,1,8.4,150,0.5,24.97,44.14,99572.46
7D4,BDDAB_1_1,1.315,explore,50.10279194,1,7.4,150,0.5,25.01,44.13,99578.74
7D3,BDDAB_1_1,2.63,explore,40.26658896,1,6,150,0.5,25.05,44.08,99580.14
7D2,BDDAB_1_1,5.26,explore,22.38932205,5,4.8,150,0.5,25,44.13,99577.57
7D1,BDDAB_1_1,10.52,explore,32.36972568,1,5.1,150,0.5,25,44.11,99582.17
7D9,BDDAB_1_1,0.545175672,exploit,60.85757439,1,8.9,150,0.5,24.9,44.44,99580.99
7D10,BDDAB_1_1,3.754386187,exploit,34.7851732,2,5.3,150,0.5,24.95,44.43,99593.51
7D11,BDDAB_1_1,0.691180944,exploit,56.63317219,1,8.3,150,0.5,24.95,44.39,99602.82
7D12,BDDAB_1_1,0.460588306,exploit,62.6664395,1,9.2,150,0.5,24.92,44.42,99635.11
7.00E+08,BDDAB_1_2,0.0821875,explore,69.88978901,1,10.2,150,0.5,24.84,44.24,99649.91
7.00E+07,BDDAB_1_2,0.164375,explore,67.38871002,1,9.9,150,0.5,24.88,44.16,99658.66
7.00E+06,BDDAB_1_2,0.32875,explore,61.48013572,1,9.1,150,0.5,24.86,43.95,99647.32
7.00E+05,BDDAB_1_2,0.6575,explore,54.97994419,1,8.2,150,0.5,24.81,43.96,99642.59
7.00E+04,BDDAB_1_2,1.315,explore,45.68129672,1,7,150,0.5,24.84,43.83,99653.42
7.00E+03,BDDAB_1_2,2.63,explore,37.35761567,1,5.8,150,0.5,24.81,43.78,99659.29
7.00E+02,BDDAB_1_2,5.26,explore,21.31794969,5,4.7,150,0.5,24.85,43.5,99678.75
7.00E+01,BDDAB_1_2,10.52,explore,32.22931227,1,5.1,150,0.5,24.82,43.48,99677.86
7.00E+09,BDDAB_1_2,4.416215897,exploit,32.98282407,4,5.3,150,0.5,24.8,43.21,99693.11
7.00E+10,BDDAB_1_2,0.573102534,exploit,59.09351502,1,8.7,150,0.5,24.71,43.15,99696.14
7.00E+11,BDDAB_1_2,0.860025227,exploit,55.81961938,1,8.2,150,0.5,24.62,43.05,99692.17
7.00E+12,BDDAB_1_2,0.460588306,exploit,62.22829734,1,9.1,150,0.5,24.58,42.93,99712.64
7F8,BDDAB_1_3,0.0821875,explore,70.861078,1,10.4,150,0.5,24.56,42.74,99729.32
7F7,BDDAB_1_3,0.164375,explore,64.14495383,1,9.7,150,0.5,24.57,42.56,99730
7F6,BDDAB_1_3,0.32875,explore,63.40741264,1,9.4,150,0.5,24.65,42.42,99729.33
7F5,BDDAB_1_3,0.6575,explore,57.64536715,1,8.5,150,0.5,24.64,42.23,99728.24
7F4,BDDAB_1_3,1.315,explore,49.13018023,1,7.3,150,0.5,24.61,42.23,99730.71
7F3,BDDAB_1_3,2.63,explore,38.60890371,1,5.9,150,0.5,24.66,42.09,99739.63
7F2,BDDAB_1_3,5.26,explore,28.97301345,5,4.8,150,0.5,24.67,41.84,99756.48
7F1,BDDAB_1_3,10.52,explore,32.41560554,1,5,150,0.5,24.62,41.89,99759.71
7F9,BDDAB_1_3,4.097383499,exploit,33.05917893,3,5,150,0.5,24.63,41.52,99774.74
7F10,BDDAB_1_3,4.307273865,exploit,31.77068591,5,5.1,150,0.5,24.62,41.08,99789.8
7F11,BDDAB_1_3,0.469298273,exploit,60.15130714,1,9,150,0.5,24.64,41.05,99804.33
7F12,BDDAB_1_3,0.460588306,exploit,63.29565,1,9.2,150,0.5,24.55,40.74,99823.52
