surfactant,SMILES,type,AW_ST_CMC,Gamma_max,CMC
16BAC,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,41.079998,1.57E-06,0.000399385
BDDAB,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],cationic,37.45347,2.41E-06,0.004778365
C12E3,CCCCCCCCCCCCOCCOCCOCCO,non-ionic,28.132145,4.04E-06,4.12E-05
C12E4,CCCCCCCCCCCCOCCOCCOCCOCCO,non-ionic,28.94427,3.70E-06,5.05E-05
CTAB,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,34.632504,3.31E-06,0.001540311
DTAB,CCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,36.41474,3.25E-06,0.008034118
NaOleate,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],anionic,32.42758,2.42E-06,0.001963836
SDBS,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,38.57384,2.34E-06,0.001943464
SDS,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,39.654587,2.03E-06,0.007219354
SOS,CCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,31.133892,6.68E-07,0.119532083
TTAB,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],cationic,35.99128,3.25E-06,0.00449047
